State,Input,Output,Next_State
S0,a,1,S4
S4,c,1,S2
S2,c,1,S8
S2,b,0,S7
S4,d,1,S5
S0,d,1,S6
S4,e,0,S9
S0,b,1,S1
S9,c,0,S3
S5,a,0,S5
S0,e,1,S3
S8,e,0,S7
S6,b,0,S9
S7,e,0,S8
S6,c,1,S9
S6,a,0,S0
S7,c,1,S7
S7,d,1,S2
S0,c,1,S1
S1,b,1,S2
S8,a,0,S0
S9,a,0,S0
S4,a,0,S9
S4,b,0,S0
S6,d,0,S5
S9,d,0,S5
S6,e,0,S7
S2,a,0,S0
S9,e,1,S1
S8,c,0,S4
S7,b,0,S7
S1,d,1,S0
S1,a,1,S7
S5,e,0,S5
S5,d,1,S5
S9,b,1,S5
S1,e,1,S6
S7,a,1,S7
S5,b,1,S4
S1,c,0,S4
S2,e,0,S7
S3,e,1,S7
S3,d,0,S9
S8,d,0,S6
S2,d,0,S9
S3,a,1,S0
S8,b,0,S1
S3,b,0,S6
S5,c,1,S0
S3,c,1,S5
